# group  group_size  exttype  extval  t  delta  Q_T  file
BO  48  angle  0.03371  100  0.996265477338660665  1034.6618054680  qcoGBON0T100exttypeangleextval0.03371f1s0v0.0.0.txt
BO  48  angle  0.03529  100  0.995906091263522697  943.6632982957  qcoGBON0T100exttypeangleextval0.03529f1s0v0.0.0.txt
BO  48  angle  0.04425  50  0.993569242044786027  600.0443921771  qcoGBON0T50exttypeangleextval0.04425f1s0v0.0.0.txt
BO  48  angle  0.04598  100  0.993057677703763741  555.6855014156  qcoGBON0T100exttypeangleextval0.04598f1s0v0.0.0.txt
BO  48  angle  0.04854  100  0.992262473216737884  498.3769322208  qcoGBON0T100exttypeangleextval0.04854f1s0v0.0.0.txt
BO  48  angle  0.04938  50  0.991993232984546225  481.5529584684  qcoGBON0T50exttypeangleextval0.04938f1s0v0.0.0.txt
BO  48  angle  0.05128  50  0.991366841758614448  446.4723580270  qcoGBON0T50exttypeangleextval0.05128f1s0v0.0.0.txt
BO  48  angle  0.05208  50  0.991095554723258609  432.8107758697  qcoGBON0T50exttypeangleextval0.05208f1s0v0.0.0.txt
BO  48  angle  0.05208  100  0.991095554723258609  432.8107758697  qcoGBON0T100exttypeangleextval0.05208f1s0v0.0.0.txt
BO  48  angle  0.05319  50  0.990713502660026002  414.9248064406  qcoGBON0T50exttypeangleextval0.05319f1s0v0.0.0.txt
BO  48  angle  0.05495  50  0.990092659344589565  388.8018660623  qcoGBON0T50exttypeangleextval0.05495f1s0v0.0.0.txt
BO  48  angle  0.05618  50  0.989643551907728458  371.8572477049  qcoGBON0T50exttypeangleextval0.05618f1s0v0.0.0.txt
BO  48  angle  0.05814  50  0.988910451219650377  347.1463317992  qcoGBON0T50exttypeangleextval0.05814f1s0v0.0.0.txt
BO  48  angle  0.06723  100  0.985186774836699697  259.3936947892  qcoGBON0T100exttypeangleextval0.06723f1s0v0.0.0.txt
BO  48  angle  0.0708  50  0.983578586434492030  233.8000918223  qcoGBON0T50exttypeangleextval0.0708f1s0v0.0.0.txt
BO  48  angle  0.07229  50  0.982881826928815205  224.2045164756  qcoGBON0T50exttypeangleextval0.07229f1s0v0.0.0.txt
BO  48  angle  0.07407  50  0.982029913719889125  213.4832810985  qcoGBON0T50exttypeangleextval0.07407f1s0v0.0.0.txt
BO  48  angle  0.075  100  0.981579946931790848  208.2207176588  qcoGBON0T100exttypeangleextval0.075f1s0v0.0.0.txt
BO  48  angle  0.07576  50  0.981207712215700800  204.0577328084  qcoGBON0T50exttypeangleextval0.07576f1s0v0.0.0.txt
BO  48  angle  0.07778  50  0.980197150850670051  193.5450197139  qcoGBON0T50exttypeangleextval0.07778f1s0v0.0.0.txt
BO  48  angle  0.07778  100  0.980197150850670051  193.5450197139  qcoGBON0T100exttypeangleextval0.07778f1s0v0.0.0.txt
BO  48  angle  0.07937  50  0.979384857486058080  185.8420234664  qcoGBON0T50exttypeangleextval0.07937f1s0v0.0.0.txt
BO  48  angle  0.08108  50  0.978488631289005095  178.0180860991  qcoGBON0T50exttypeangleextval0.08108f1s0v0.0.0.txt
BO  48  angle  0.08197  50  0.978018483194219690  174.1688708780  qcoGBON0T50exttypeangleextval0.08197f1s0v0.0.0.txt
BO  48  angle  0.08257  100  0.977696452490702250  171.6259693374  qcoGBON0T100exttypeangleextval0.08257f1s0v0.0.0.txt
BO  48  angle  0.08421  50  0.976805940184905408  164.9616762848  qcoGBON0T50exttypeangleextval0.08421f1s0v0.0.0.txt
BO  48  angle  0.08491  50  0.976423721272244860  162.2556866522  qcoGBON0T50exttypeangleextval0.08491f1s0v0.0.0.txt
BO  48  angle  0.08861  50  0.974336602884953162  148.9012413387  qcoGBON0T50exttypeangleextval0.08861f1s0v0.0.0.txt
BO  48  angle  0.08955  100  0.973790125051233413  145.7559261641  qcoGBON0T100exttypeangleextval0.08955f1s0v0.0.0.txt
BO  48  angle  0.09402  50  0.971130947218289631  132.1501356897  qcoGBON0T50exttypeangleextval0.09402f1s0v0.0.0.txt
BO  48  angle  0.09474  50  0.970690521022910868  130.1349745986  qcoGBON0T50exttypeangleextval0.09474f1s0v0.0.0.txt
BO  48  angle  0.09574  100  0.970068331471280687  127.3892174226  qcoGBON0T100exttypeangleextval0.09574f1s0v0.0.0.txt
BO  48  angle  0.09649  50  0.969603334586344734  125.4105498124  qcoGBON0T50exttypeangleextval0.09649f1s0v0.0.0.txt
BO  48  angle  0.09735  100  0.969067177787109379  123.2029154054  qcoGBON0T100exttypeangleextval0.09735f1s0v0.0.0.txt
BO  48  angle  0.09821  50  0.968516748481937806  121.0147279526  qcoGBON0T50exttypeangleextval0.09821f1s0v0.0.0.txt
BO  48  angle  0.0989  100  0.968078443940481925  119.3262491225  qcoGBON0T100exttypeangleextval0.0989f1s0v0.0.0.txt
BO  48  angle  0.10084  100  0.966824933374016204  114.7435908162  qcoGBON0T100exttypeangleextval0.10084f1s0v0.0.0.txt
BO  48  angle  0.10465  100  0.964293182105079416  106.4689680849  qcoGBON0T100exttypeangleextval0.10465f1s0v0.0.0.txt
BO  48  angle  0.10588  50  0.963455885440552384  103.9846598429  qcoGBON0T50exttypeangleextval0.10588f1s0v0.0.0.txt
BO  48  angle  0.10588  100  0.963455885440552384  103.9846598429  qcoGBON0T100exttypeangleextval0.10588f1s0v0.0.0.txt
BO  48  angle  0.10843  50  0.961690769683787749  99.1031892877  qcoGBON0T50exttypeangleextval0.10843f1s0v0.0.0.txt
