# group  group_size  exttype  extval  t  delta  Q_T  file
BT  24  angle  0.03175  50  0.996687183576934310  957.7309332452  qcoGBTN0T50exttypeangleextval0.03175f1s0v0.0.0.txt
BT  24  angle  0.03529  50  0.995906091263516036  774.6982787131  qcoGBTN0T50exttypeangleextval0.03529f1s0v0.0.0.txt
BT  24  angle  0.0411  50  0.994451546599525948  571.1914265094  qcoGBTN0T50exttypeangleextval0.0411f1s0v0.0.0.txt
BT  24  angle  0.04274  50  0.994000786163938721  528.1544289492  qcoGBTN0T50exttypeangleextval0.04274f1s0v0.0.0.txt
BT  24  angle  0.04673  50  0.992829146688415820  441.5995344659  qcoGBTN0T50exttypeangleextval0.04673f1s0v0.0.0.txt
BT  24  angle  0.05051  50  0.991625925784262896  377.9198117355  qcoGBTN0T50exttypeangleextval0.05051f1s0v0.0.0.txt
BT  24  angle  0.05405  50  0.990410606898471713  329.8218690268  qcoGBTN0T50exttypeangleextval0.05405f1s0v0.0.0.txt
BT  24  angle  0.05618  50  0.989643551907722241  305.2753776104  qcoGBTN0T50exttypeangleextval0.05618f1s0v0.0.0.txt
BT  24  angle  0.05932  50  0.988456083061680979  273.7090672496  qcoGBTN0T50exttypeangleextval0.05932f1s0v0.0.0.txt
BT  24  angle  0.06849  50  0.984625661851453615  205.1184562885  qcoGBTN0T50exttypeangleextval0.06849f1s0v0.0.0.txt
BT  24  angle  0.07229  50  0.982881826928808766  184.0601974319  qcoGBTN0T50exttypeangleextval0.07229f1s0v0.0.0.txt
BT  24  angle  0.07576  50  0.981207712215695027  167.5207403430  qcoGBTN0T50exttypeangleextval0.07576f1s0v0.0.0.txt
BT  24  angle  0.07627  50  0.980953262176473495  165.2614257046  qcoGBTN0T50exttypeangleextval0.07627f1s0v0.0.0.txt
BT  24  angle  0.07843  50  0.979864624023339847  156.2399286975  qcoGBTN0T50exttypeangleextval0.07843f1s0v0.0.0.txt
BT  24  angle  0.08036  50  0.978869014748174782  148.8031233363  qcoGBTN0T50exttypeangleextval0.08036f1s0v0.0.0.txt
BT  24  angle  0.08421  50  0.976805940184898636  135.4249199926  qcoGBTN0T50exttypeangleextval0.08421f1s0v0.0.0.txt
BT  24  angle  0.08491  50  0.976423721272239420  133.2034438428  qcoGBTN0T50exttypeangleextval0.08491f1s0v0.0.0.txt
BT  24  angle  0.08955  50  0.973790125051228084  119.6580022935  qcoGBTN0T50exttypeangleextval0.08955f1s0v0.0.0.txt
BT  24  angle  0.09184  50  0.972445235357772941  113.7394823212  qcoGBTN0T50exttypeangleextval0.09184f1s0v0.0.0.txt
BT  24  angle  0.09574  50  0.970068331471275469  104.5798937421  qcoGBTN0T50exttypeangleextval0.09574f1s0v0.0.0.txt
BT  24  angle  0.09649  50  0.969603334586338517  102.9555109833  qcoGBTN0T50exttypeangleextval0.09649f1s0v0.0.0.txt
BT  24  angle  0.09735  50  0.969067177787104050  101.1431584438  qcoGBTN0T50exttypeangleextval0.09735f1s0v0.0.0.txt
BT  24  angle  0.10084  50  0.966824933374010209  94.1984948014  qcoGBTN0T50exttypeangleextval0.10084f1s0v0.0.0.txt
BT  24  angle  0.10843  50  0.961690769683781421  81.3585420721  qcoGBTN0T50exttypeangleextval0.10843f1s0v0.0.0.txt
BT  24  angle  0.10989  50  0.960665103574917412  79.1951135667  qcoGBTN0T50exttypeangleextval0.10989f1s0v0.0.0.txt
