=== TIER 1 (d3_survey) ===
 group  extension               kind             n    best_δ    mean_δ    std_δ   Q_T(b)   Q_T(μ)    Q_opt
----------------------------------------------------------------------------------------------------
 S1080  rnd_batch2              rnd             10    0.1048    0.1675   0.0430    3.096    3.909    2.495
 S1080  rnd_batch1              rnd             10    0.1211    0.1868   0.0626    3.308    4.163    2.495
 S1080  HV(2,1,0)               howard_vala      1    0.5698    0.5698   0.0000   12.419   12.419    2.495
 S1080  P(2pi/5)                angle            1    0.6545    0.6545   0.0000   16.478   16.478    2.495
 S1080  HV(1,1,0)_campbell      howard_vala      1    0.6764    0.6764   0.0000   17.867   17.867    2.495
 S1080  HV(1,2,0)_eq27          howard_vala      1    0.6764    0.6764   0.0000   17.867   17.867    2.495
 S1080  P(2pi/9)                angle            1    0.8830    0.8830   0.0000   56.145   56.145    2.495
 S1080  P(pi/9)                 angle            1    0.9698    0.9698   0.0000  228.127  228.127    2.495
  S216  rnd_batch1              rnd             10    0.2506    0.3185   0.0979    3.885    4.699    2.692
  S216  rnd_batch2              rnd             10    0.2573    0.3422   0.0869    3.960    5.013    2.692
  S216  HV(2,1,0)               howard_vala      1    0.5000    0.5000   0.0000    7.755    7.755    2.692
  S216  P(2pi/5)                angle            1    0.6545    0.6545   0.0000   12.681   12.681    2.692
  S216  HV(1,2,0)_eq27          howard_vala      1    0.6764    0.6764   0.0000   13.750   13.750    2.692
  S216  HV(1,1,0)_campbell      howard_vala      1    0.6764    0.6764   0.0000   13.750   13.750    2.692
  S216  P(2pi/9)                angle            1    0.8830    0.8830   0.0000   43.208   43.208    2.692
  S216  P(pi/9)                 angle            1    0.9698    0.9698   0.0000  175.561  175.561    2.692
  S648  rnd_batch1              rnd             10    0.1463    0.2148   0.0403    3.369    4.210    2.544
  S648  rnd_batch2              rnd             10    0.1627    0.2860   0.1330    3.565    5.171    2.544
  S648  HV(2,1,0)               howard_vala      1    0.5000    0.5000   0.0000    9.340    9.340    2.544
  S648  P(2pi/5)                angle            1    0.6545    0.6545   0.0000   15.273   15.273    2.544
  S648  HV(1,1,0)_campbell      howard_vala      1    0.6764    0.6764   0.0000   16.561   16.561    2.544
  S648  HV(1,2,0)_eq27          howard_vala      1    0.6764    0.6764   0.0000   16.561   16.561    2.544
  S648  P(2pi/9)                angle            1    0.8830    0.8830   0.0000   52.039   52.039    2.544
  S648  P(pi/9)                 angle            1    0.9698    0.9698   0.0000  211.443  211.443    2.544

=== APPLES (d3_rnd_apples, same 10 Haar matrices on 3 groups) ===
 group  extension               kind             n    best_δ    mean_δ    std_δ   Q_T(b)   Q_T(μ)    Q_opt
----------------------------------------------------------------------------------------------------
 S1080  haar_apple04            mat              1    0.1197    0.1197   0.0000    3.291    3.291    2.495
 S1080  haar_apple09            mat              1    0.1823    0.1823   0.0000    4.103    4.103    2.495
 S1080  haar_apple06            mat              1    0.1965    0.1965   0.0000    4.293    4.293    2.495
 S1080  haar_apple01            mat              1    0.2029    0.2029   0.0000    4.379    4.379    2.495
 S1080  haar_apple07            mat              1    0.2271    0.2271   0.0000    4.712    4.712    2.495
 S1080  haar_apple02            mat              1    0.2285    0.2285   0.0000    4.732    4.732    2.495
 S1080  haar_apple03            mat              1    0.2299    0.2299   0.0000    4.752    4.752    2.495
 S1080  haar_apple00            mat              1    0.3462    0.3462   0.0000    6.585    6.585    2.495
 S1080  haar_apple08            mat              1    0.3795    0.3795   0.0000    7.208    7.208    2.495
 S1080  haar_apple05            mat              1    0.4377    0.4377   0.0000    8.454    8.454    2.495
  S216  haar_apple02            mat              1    0.2221    0.2221   0.0000    3.573    3.573    2.692
  S216  haar_apple05            mat              1    0.2446    0.2446   0.0000    3.818    3.818    2.692
  S216  haar_apple03            mat              1    0.2493    0.2493   0.0000    3.869    3.869    2.692
  S216  haar_apple09            mat              1    0.2526    0.2526   0.0000    3.907    3.907    2.692
  S216  haar_apple06            mat              1    0.2842    0.2842   0.0000    4.272    4.272    2.692
  S216  haar_apple00            mat              1    0.2974    0.2974   0.0000    4.432    4.432    2.692
  S216  haar_apple07            mat              1    0.3169    0.3169   0.0000    4.677    4.677    2.692
  S216  haar_apple04            mat              1    0.3430    0.3430   0.0000    5.024    5.024    2.692
  S216  haar_apple08            mat              1    0.3996    0.3996   0.0000    5.859    5.859    2.692
  S216  haar_apple01            mat              1    0.4636    0.4636   0.0000    6.992    6.992    2.692
  S648  haar_apple06            mat              1    0.1701    0.1701   0.0000    3.655    3.655    2.544
  S648  haar_apple02            mat              1    0.1727    0.1727   0.0000    3.686    3.686    2.544
  S648  haar_apple04            mat              1    0.2104    0.2104   0.0000    4.154    4.154    2.544
  S648  haar_apple03            mat              1    0.2292    0.2292   0.0000    4.395    4.395    2.544
  S648  haar_apple07            mat              1    0.2312    0.2312   0.0000    4.421    4.421    2.544
  S648  haar_apple08            mat              1    0.2377    0.2377   0.0000    4.505    4.505    2.544
  S648  haar_apple05            mat              1    0.2412    0.2412   0.0000    4.553    4.553    2.544
  S648  haar_apple09            mat              1    0.2526    0.2526   0.0000    4.706    4.706    2.544
  S648  haar_apple00            mat              1    0.2974    0.2974   0.0000    5.338    5.338    2.544
  S648  haar_apple01            mat              1    0.4636    0.4636   0.0000    8.421    8.421    2.544
