=== TIER 2 (d3_survey) ===
 group  extension               kind             n    best_δ    mean_δ    std_δ   Q_T(b)   Q_T(μ)    Q_opt
----------------------------------------------------------------------------------------------------
 S1080  rnd_batch2              rnd              1    0.1784    0.1784   0.0000    4.052    4.052    2.495
 S1080  rnd_batch1              rnd              1    0.2047    0.2047   0.0000    4.404    4.404    2.495
 S1080  HV(2,1,0)               howard_vala      1    0.5698    0.5698   0.0000   12.419   12.419    2.495
 S1080  P(2pi/5)                angle            1    0.6545    0.6545   0.0000   16.478   16.478    2.495
 S1080  HV(1,1,0)_campbell      howard_vala      1    0.6764    0.6764   0.0000   17.867   17.867    2.495
 S1080  HV(1,2,0)_eq27          howard_vala      1    0.6764    0.6764   0.0000   17.867   17.867    2.495
 S1080  P(2pi/9)                angle            1    0.8830    0.8830   0.0000   56.145   56.145    2.495
 S1080  P(pi/9)                 angle            1    0.9698    0.9698   0.0000  228.127  228.127    2.495
  S216  rnd_batch2              rnd              1    0.2605    0.2605   0.0000    3.996    3.996    2.692
  S216  rnd_batch1              rnd              1    0.3303    0.3303   0.0000    4.852    4.852    2.692
  S216  HV(2,1,0)               howard_vala      1    0.5927    0.5927   0.0000   10.277   10.277    2.692
  S216  P(2pi/5)                angle            1    0.6545    0.6545   0.0000   12.681   12.681    2.692
  S216  HV(1,2,0)_eq27          howard_vala      1    0.6764    0.6764   0.0000   13.750   13.750    2.692
  S216  HV(1,1,0)_campbell      howard_vala      1    0.6764    0.6764   0.0000   13.750   13.750    2.692
  S216  P(2pi/9)                angle            1    0.8830    0.8830   0.0000   43.208   43.208    2.692
  S216  P(pi/9)                 angle            1    0.9698    0.9698   0.0000  175.561  175.561    2.692
  S648  rnd_batch2              rnd              1    0.2107    0.2107   0.0000    4.157    4.157    2.544
  S648  rnd_batch1              rnd              1    0.2786    0.2786   0.0000    5.066    5.066    2.544
  S648  HV(2,1,0)               howard_vala      1    0.5833    0.5833   0.0000   12.011   12.011    2.544
  S648  P(2pi/5)                angle            1    0.6545    0.6545   0.0000   15.273   15.273    2.544
  S648  HV(1,1,0)_campbell      howard_vala      1    0.6764    0.6764   0.0000   16.561   16.561    2.544
  S648  HV(1,2,0)_eq27          howard_vala      1    0.6764    0.6764   0.0000   16.561   16.561    2.544
  S648  P(2pi/9)                angle            1    0.8830    0.8830   0.0000   52.039   52.039    2.544
  S648  P(pi/9)                 angle            1    0.9698    0.9698   0.0000  211.443  211.443    2.544
