# group  group_size  exttype  extval  t  delta  Q_T  file
BO  48  angle  0.04425  50  0.993569242044786027  600.0443921771  qcoGBON0T50exttypeangleextval0.04425f1s0v0.0.0.txt
BO  48  angle  0.04938  50  0.991993232984546225  481.5529584684  qcoGBON0T50exttypeangleextval0.04938f1s0v0.0.0.txt
BO  48  angle  0.05128  50  0.991366841758614448  446.4723580270  qcoGBON0T50exttypeangleextval0.05128f1s0v0.0.0.txt
BO  48  angle  0.05208  50  0.991095554723258609  432.8107758697  qcoGBON0T50exttypeangleextval0.05208f1s0v0.0.0.txt
BO  48  angle  0.05319  50  0.990713502660026002  414.9248064406  qcoGBON0T50exttypeangleextval0.05319f1s0v0.0.0.txt
BO  48  angle  0.05495  50  0.990092659344589565  388.8018660623  qcoGBON0T50exttypeangleextval0.05495f1s0v0.0.0.txt
BO  48  angle  0.05618  50  0.989643551907728458  371.8572477049  qcoGBON0T50exttypeangleextval0.05618f1s0v0.0.0.txt
BO  48  angle  0.05814  50  0.988910451219650377  347.1463317992  qcoGBON0T50exttypeangleextval0.05814f1s0v0.0.0.txt
BO  48  angle  0.0708  50  0.983578586434492030  233.8000918223  qcoGBON0T50exttypeangleextval0.0708f1s0v0.0.0.txt
BO  48  angle  0.07229  50  0.982881826928815205  224.2045164756  qcoGBON0T50exttypeangleextval0.07229f1s0v0.0.0.txt
BO  48  angle  0.07407  50  0.982029913719889125  213.4832810985  qcoGBON0T50exttypeangleextval0.07407f1s0v0.0.0.txt
BO  48  angle  0.07576  50  0.981207712215700800  204.0577328084  qcoGBON0T50exttypeangleextval0.07576f1s0v0.0.0.txt
BO  48  angle  0.07778  50  0.980197150850670051  193.5450197139  qcoGBON0T50exttypeangleextval0.07778f1s0v0.0.0.txt
BO  48  angle  0.07937  50  0.979384857486058080  185.8420234664  qcoGBON0T50exttypeangleextval0.07937f1s0v0.0.0.txt
BO  48  angle  0.08108  50  0.978488631289005095  178.0180860991  qcoGBON0T50exttypeangleextval0.08108f1s0v0.0.0.txt
BO  48  angle  0.08197  50  0.978018483194219690  174.1688708780  qcoGBON0T50exttypeangleextval0.08197f1s0v0.0.0.txt
BO  48  angle  0.08421  50  0.976805940184905408  164.9616762848  qcoGBON0T50exttypeangleextval0.08421f1s0v0.0.0.txt
BO  48  angle  0.08491  50  0.976423721272244860  162.2556866522  qcoGBON0T50exttypeangleextval0.08491f1s0v0.0.0.txt
BO  48  angle  0.08861  50  0.974336602884953162  148.9012413387  qcoGBON0T50exttypeangleextval0.08861f1s0v0.0.0.txt
BO  48  angle  0.09402  50  0.971130947218289631  132.1501356897  qcoGBON0T50exttypeangleextval0.09402f1s0v0.0.0.txt
BO  48  angle  0.09474  50  0.970690521022910868  130.1349745986  qcoGBON0T50exttypeangleextval0.09474f1s0v0.0.0.txt
BO  48  angle  0.09649  50  0.969603334586344734  125.4105498124  qcoGBON0T50exttypeangleextval0.09649f1s0v0.0.0.txt
BO  48  angle  0.09821  50  0.968516748481937806  121.0147279526  qcoGBON0T50exttypeangleextval0.09821f1s0v0.0.0.txt
BO  48  angle  0.10588  50  0.963455885440552384  103.9846598429  qcoGBON0T50exttypeangleextval0.10588f1s0v0.0.0.txt
BO  48  angle  0.10843  50  0.961690769683787749  99.1031892877  qcoGBON0T50exttypeangleextval0.10843f1s0v0.0.0.txt
BO  48  angle  0.10924  50  0.961121967876146677  97.6245744901  qcoGBON0T50exttypeangleextval0.10924f1s0v0.0.0.txt
BO  48  angle  0.11475  50  0.957144546027002163  88.3818530972  qcoGBON0T50exttypeangleextval0.11475f1s0v0.0.0.txt
BO  48  angle  0.11842  50  0.954394058700858694  82.9330408844  qcoGBON0T50exttypeangleextval0.11842f1s0v0.0.0.txt
BO  48  angle  0.11927  50  0.953748545985223073  81.7481354036  qcoGBON0T50exttypeangleextval0.11927f1s0v0.0.0.txt
BO  48  angle  0.12174  50  0.951834212383995237  78.4208972352  qcoGBON0T50exttypeangleextval0.12174f1s0v0.0.0.txt
BO  48  angle  0.12389  50  0.950135904950966448  75.6829390842  qcoGBON0T50exttypeangleextval0.12389f1s0v0.0.0.txt
BO  48  angle  0.1358  50  0.940241960644103814  62.8257815368  qcoGBON0T50exttypeangleextval0.1358f1s0v0.0.0.txt
BO  48  angle  0.13684  50  0.939337690032780892  61.8598009319  qcoGBON0T50exttypeangleextval0.13684f1s0v0.0.0.txt
BO  48  angle  0.13761  50  0.938661521673789134  61.1560937452  qcoGBON0T50exttypeangleextval0.13761f1s0v0.0.0.txt
BO  48  angle  0.13861  50  0.937781734118054433  60.2633644309  qcoGBON0T50exttypeangleextval0.13861f1s0v0.0.0.txt
BO  48  angle  0.14035  50  0.936238107131723507  58.7565417460  qcoGBON0T50exttypeangleextval0.14035f1s0v0.0.0.txt
BO  48  angle  0.14607  50  0.931031495791224906  54.1713313646  qcoGBON0T50exttypeangleextval0.14607f1s0v0.0.0.txt
BO  48  angle  0.14773  50  0.929483513239813486  52.9386255976  qcoGBON0T50exttypeangleextval0.14773f1s0v0.0.0.txt
BO  48  angle  0.16102  50  0.916508723021313587  44.4028101307  qcoGBON0T50exttypeangleextval0.16102f1s0v0.0.0.txt
BO  48  angle  0.16279  50  0.914699605429210805  43.4187952159  qcoGBON0T50exttypeangleextval0.16279f1s0v0.0.0.txt
BO  48  angle  0.16964  50  0.907541752154944703  39.9028277980  qcoGBON0T50exttypeangleextval0.16964f1s0v0.0.0.txt
BO  48  angle  0.17045  50  0.906676160138472742  39.5141724371  qcoGBON0T50exttypeangleextval0.17045f1s0v0.0.0.txt
BO  48  angle  0.175  50  0.901760109569400781  37.4366381119  qcoGBON0T50exttypeangleextval0.175f1s0v0.0.0.txt
BO  48  angle  0.17857  50  0.897816132818861745  35.9142926329  qcoGBON0T50exttypeangleextval0.17857f1s0v0.0.0.txt
BO  48  angle  0.18095  50  0.895147305769364965  34.9490504599  qcoGBON0T50exttypeangleextval0.18095f1s0v0.0.0.txt
BO  48  angle  0.18868  50  0.886270456966806397  32.0641183610  qcoGBON0T50exttypeangleextval0.18868f1s0v0.0.0.txt
BO  48  angle  0.18966  50  0.885125998771265410  31.7245839976  qcoGBON0T50exttypeangleextval0.18966f1s0v0.0.0.txt
BO  48  angle  0.19318  50  0.880947183413666512  30.5401872625  qcoGBON0T50exttypeangleextval0.19318f1s0v0.0.0.txt
BO  48  angle  0.1982  50  0.874887460015929319  28.9630442089  qcoGBON0T50exttypeangleextval0.1982f1s0v0.0.0.txt
BO  48  angle  0.20213  50  0.870046702085047530  27.8086763341  qcoGBON0T50exttypeangleextval0.20213f1s0v0.0.0.txt
BO  48  angle  0.2027  50  0.869331420244632169  27.6453448819  qcoGBON0T50exttypeangleextval0.2027f1s0v0.0.0.txt
BO  48  angle  0.20792  50  0.862761100563174343  26.2245486237  qcoGBON0T50exttypeangleextval0.20792f1s0v0.0.0.txt
BO  48  angle  0.20968  50  0.860517157958471168  25.7699146810  qcoGBON0T50exttypeangleextval0.20968f1s0v0.0.0.txt
BO  48  angle  0.21311  50  0.856079871051145691  24.9125500583  qcoGBON0T50exttypeangleextval0.21311f1s0v0.0.0.txt
BO  48  angle  0.21591  50  0.852427692033175477  24.2454835737  qcoGBON0T50exttypeangleextval0.21591f1s0v0.0.0.txt
BO  48  angle  0.22449  50  0.840963972246094316  22.3502115959  qcoGBON0T50exttypeangleextval0.22449f1s0v0.0.0.txt
BO  48  angle  0.22807  50  0.836071073184602831  21.6217898463  qcoGBON0T50exttypeangleextval0.22807f1s0v0.0.0.txt
BO  48  angle  0.23077  50  0.832340498780739679  21.0948919593  qcoGBON0T50exttypeangleextval0.23077f1s0v0.0.0.txt
BO  48  angle  0.23276  50  0.829567825041518825  20.7181835084  qcoGBON0T50exttypeangleextval0.23276f1s0v0.0.0.txt
BO  48  angle  0.23529  50  0.839476912126723485  22.1241442712  qcoGBON0T50exttypeangleextval0.23529f1s0v0.0.0.txt
BO  48  angle  0.23853  50  0.861260687302541461  25.9189315290  qcoGBON0T50exttypeangleextval0.23853f1s0v0.0.0.txt
BO  48  angle  0.23913  50  0.864731239784213179  26.6361191043  qcoGBON0T50exttypeangleextval0.23913f1s0v0.0.0.txt
BO  48  angle  0.24348  50  0.884548799541450492  31.5558925868  qcoGBON0T50exttypeangleextval0.24348f1s0v0.0.0.txt
BO  48  angle  0.25424  50  0.907652481095509778  39.9530708665  qcoGBON0T50exttypeangleextval0.25424f1s0v0.0.0.txt
BO  48  angle  0.2549  50  0.896678266961909221  35.4966660147  qcoGBON0T50exttypeangleextval0.2549f1s0v0.0.0.txt
BO  48  angle  0.26126  50  0.862479143429011774  26.1666093220  qcoGBON0T50exttypeangleextval0.26126f1s0v0.0.0.txt
BO  48  angle  0.26471  50  0.839476912126723374  22.1241442712  qcoGBON0T50exttypeangleextval0.26471f1s0v0.0.0.txt
BO  48  angle  0.26829  50  0.809694617914719417  18.3383966659  qcoGBON0T50exttypeangleextval0.26829f1s0v0.0.0.txt
BO  48  angle  0.27381  50  0.799927022320768399  17.3413885281  qcoGBON0T50exttypeangleextval0.27381f1s0v0.0.0.txt
BO  48  angle  0.27451  50  0.798809680179435766  17.2334813182  qcoGBON0T50exttypeangleextval0.27451f1s0v0.0.0.txt
BO  48  angle  0.27711  50  0.792991655582660493  16.6903421138  qcoGBON0T50exttypeangleextval0.27711f1s0v0.0.0.txt
BO  48  angle  0.27885  50  0.787661143030327082  16.2187136052  qcoGBON0T50exttypeangleextval0.27885f1s0v0.0.0.txt
BO  48  angle  0.28049  50  0.781596736535148051  15.7100003873  qcoGBON0T50exttypeangleextval0.28049f1s0v0.0.0.txt
BO  48  angle  0.28319  50  0.769543427081790576  14.7779514627  qcoGBON0T50exttypeangleextval0.28319f1s0v0.0.0.txt
BO  48  angle  0.2844  50  0.772848208463020492  15.0237191046  qcoGBON0T50exttypeangleextval0.2844f1s0v0.0.0.txt
BO  48  angle  0.28829  50  0.789912325866120923  16.4149875749  qcoGBON0T50exttypeangleextval0.28829f1s0v0.0.0.txt
BO  48  angle  0.29268  50  0.748368143422947663  13.3554048469  qcoGBON0T50exttypeangleextval0.29268f1s0v0.0.0.txt
BO  48  angle  0.30357  50  0.779965201838420552  15.5778992318  qcoGBON0T50exttypeangleextval0.30357f1s0v0.0.0.txt
BO  48  angle  0.30556  50  0.782865902086361087  15.8141263061  qcoGBON0T50exttypeangleextval0.30556f1s0v0.0.0.txt
BO  48  angle  0.31169  50  0.786313937680941821  16.1032222394  qcoGBON0T50exttypeangleextval0.31169f1s0v0.0.0.txt
BO  48  angle  0.31356  50  0.812177121096781529  18.6082481250  qcoGBON0T50exttypeangleextval0.31356f1s0v0.0.0.txt
BO  48  angle  0.31461  50  0.822198150403246952  19.7738407352  qcoGBON0T50exttypeangleextval0.31461f1s0v0.0.0.txt
BO  48  angle  0.31532  50  0.826662557424519884  20.3363493442  qcoGBON0T50exttypeangleextval0.31532f1s0v0.0.0.txt
BO  48  angle  0.31897  50  0.815122273275333820  18.9377507735  qcoGBON0T50exttypeangleextval0.31897f1s0v0.0.0.txt
BO  48  angle  0.32075  50  0.808823171709282862  18.2453243817  qcoGBON0T50exttypeangleextval0.32075f1s0v0.0.0.txt
BO  48  angle  0.32258  50  0.813693313918589900  18.7765833325  qcoGBON0T50exttypeangleextval0.32258f1s0v0.0.0.txt
BO  48  angle  0.32353  50  0.815744939284946069  19.0087580723  qcoGBON0T50exttypeangleextval0.32353f1s0v0.0.0.txt
BO  48  angle  0.32609  50  0.819562432184548384  19.4547671375  qcoGBON0T50exttypeangleextval0.32609f1s0v0.0.0.txt
BO  48  angle  0.32911  50  0.820706463178646484  19.5921126234  qcoGBON0T50exttypeangleextval0.32911f1s0v0.0.0.txt
BO  48  angle  0.33654  50  0.816288021599172575  19.0710813212  qcoGBON0T50exttypeangleextval0.33654f1s0v0.0.0.txt
BO  48  angle  0.34234  50  0.790311034375414168  16.4501867674  qcoGBON0T50exttypeangleextval0.34234f1s0v0.0.0.txt
BO  48  angle  0.34314  50  0.784037504419471509  15.9113280351  qcoGBON0T50exttypeangleextval0.34314f1s0v0.0.0.txt
BO  48  angle  0.34848  50  0.783068931180170513  15.8308957847  qcoGBON0T50exttypeangleextval0.34848f1s0v0.0.0.txt
BO  48  angle  0.35484  50  0.750365213969571232  13.4793356052  qcoGBON0T50exttypeangleextval0.35484f1s0v0.0.0.txt
BO  48  angle  0.35644  50  0.765224280702744286  14.4671115659  qcoGBON0T50exttypeangleextval0.35644f1s0v0.0.0.txt
BO  48  angle  0.35938  50  0.768444893361220460  14.6978000332  qcoGBON0T50exttypeangleextval0.35938f1s0v0.0.0.txt
BO  48  angle  0.36441  50  0.760423070936164236  14.1346442620  qcoGBON0T50exttypeangleextval0.36441f1s0v0.0.0.txt
BO  48  angle  0.36486  50  0.746692136158763953  13.2528940917  qcoGBON0T50exttypeangleextval0.36486f1s0v0.0.0.txt
BO  48  angle  0.37079  50  0.752885451386941962  13.6385682091  qcoGBON0T50exttypeangleextval0.37079f1s0v0.0.0.txt
BO  48  angle  0.37168  50  0.754759022308770899  13.7590476235  qcoGBON0T50exttypeangleextval0.37168f1s0v0.0.0.txt
BO  48  angle  0.37255  50  0.774508331442418707  15.1498788843  qcoGBON0T50exttypeangleextval0.37255f1s0v0.0.0.txt
BO  48  angle  0.37383  50  0.769849638341467135  14.8004287782  qcoGBON0T50exttypeangleextval0.37383f1s0v0.0.0.txt
BO  48  angle  0.37615  50  0.758658539626367756  14.0157573128  qcoGBON0T50exttypeangleextval0.37615f1s0v0.0.0.txt
BO  48  angle  0.38571  50  0.769604161132350084  14.7824049025  qcoGBON0T50exttypeangleextval0.38571f1s0v0.0.0.txt
BO  48  angle  0.38655  50  0.775855703154295528  15.2536366667  qcoGBON0T50exttypeangleextval0.38655f1s0v0.0.0.txt
BO  48  angle  0.38806  50  0.778430933419458126  15.4554381453  qcoGBON0T50exttypeangleextval0.38806f1s0v0.0.0.txt
BO  48  angle  0.39252  50  0.780522186673059615  15.6227773391  qcoGBON0T50exttypeangleextval0.39252f1s0v0.0.0.txt
BO  48  angle  0.39506  50  0.790392669518772850  16.4574101944  qcoGBON0T50exttypeangleextval0.39506f1s0v0.0.0.txt
BO  48  angle  0.39683  50  0.797132507222936604  17.0737292326  qcoGBON0T50exttypeangleextval0.39683f1s0v0.0.0.txt
BO  48  angle  0.40323  50  0.820763441207290501  19.5989987328  qcoGBON0T50exttypeangleextval0.40323f1s0v0.0.0.txt
BO  48  angle  0.40833  50  0.838670567945438927  22.0032992049  qcoGBON0T50exttypeangleextval0.40833f1s0v0.0.0.txt
BO  48  angle  0.41  50  0.844327925502030951  22.8775020530  qcoGBON0T50exttypeangleextval0.41f1s0v0.0.0.txt
BO  48  angle  0.41284  50  0.853767628503403930  24.4863603390  qcoGBON0T50exttypeangleextval0.41284f1s0v0.0.0.txt
BO  48  angle  0.41379  50  0.856857176167604262  25.0589074779  qcoGBON0T50exttypeangleextval0.41379f1s0v0.0.0.txt
BO  48  angle  0.42056  50  0.877998591314108068  29.7532271862  qcoGBON0T50exttypeangleextval0.42056f1s0v0.0.0.txt
BO  48  angle  0.42453  50  0.889657090994762201  33.1100591083  qcoGBON0T50exttypeangleextval0.42453f1s0v0.0.0.txt
BO  48  angle  0.4321  50  0.910362940966162659  41.2216137972  qcoGBON0T50exttypeangleextval0.4321f1s0v0.0.0.txt
BO  48  angle  0.4466  50  0.944242549099715500  67.4751962680  qcoGBON0T50exttypeangleextval0.4466f1s0v0.0.0.txt
BO  48  angle  0.44928  50  0.949639698900336282  74.9178232813  qcoGBON0T50exttypeangleextval0.44928f1s0v0.0.0.txt
BO  48  angle  0.45122  50  0.953396392054947528  81.1155558904  qcoGBON0T50exttypeangleextval0.45122f1s0v0.0.0.txt
BO  48  angle  0.4557  50  0.961504904327438625  98.6152218562  qcoGBON0T50exttypeangleextval0.4557f1s0v0.0.0.txt
BO  48  angle  0.45745  50  0.964469175054392558  107.0060396479  qcoGBON0T50exttypeangleextval0.45745f1s0v0.0.0.txt
BO  48  angle  0.45918  50  0.967294863039046104  116.4204299797  qcoGBON0T50exttypeangleextval0.45918f1s0v0.0.0.txt
BO  48  angle  0.46479  50  0.975626331552524984  156.8836186076  qcoGBON0T50exttypeangleextval0.46479f1s0v0.0.0.txt
BO  48  angle  0.46914  50  0.981255310627402677  204.5808431106  qcoGBON0T50exttypeangleextval0.46914f1s0v0.0.0.txt
BO  48  angle  0.46988  50  0.982145119704220471  214.8733152797  qcoGBON0T50exttypeangleextval0.46988f1s0v0.0.0.txt
BO  48  angle  0.47191  50  0.984465327861601458  247.2568197724  qcoGBON0T50exttypeangleextval0.47191f1s0v0.0.0.txt
BO  48  angle  0.47561  50  0.988280423780365846  328.3797938527  qcoGBON0T50exttypeangleextval0.47561f1s0v0.0.0.txt
BO  48  angle  0.47674  50  0.989343368075127128  361.3277838332  qcoGBON0T50exttypeangleextval0.47674f1s0v0.0.0.txt
BO  48  angle  0.47748  50  0.990003708421782536  385.3248732796  qcoGBON0T50exttypeangleextval0.47748f1s0v0.0.0.txt
BO  48  angle  0.47826  50  0.990685946036347409  413.6914625151  qcoGBON0T50exttypeangleextval0.47826f1s0v0.0.0.txt
BO  48  angle  0.47899  50  0.991300683105814651  443.0621547722  qcoGBON0T50exttypeangleextval0.47899f1s0v0.0.0.txt
BO  48  angle  0.48276  50  0.994137957154377472  658.4467942603  qcoGBON0T50exttypeangleextval0.48276f1s0v0.0.0.txt
BO  48  angle  0.48454  50  0.995283421166633597  818.8274894588  qcoGBON0T50exttypeangleextval0.48454f1s0v0.0.0.txt
BO  48  angle  0.49057  50  0.998243731764338227  2202.2835138495  qcoGBON0T50exttypeangleextval0.49057f1s0v0.0.0.txt
BO  48  angle  0.49123  50  0.998481516433333161  2547.4500836554  qcoGBON0T50exttypeangleextval0.49123f1s0v0.0.0.txt
BO  48  angle  0.49275  50  0.998963673646746098  3733.5678459810  qcoGBON0T50exttypeangleextval0.49275f1s0v0.0.0.txt
BO  48  angle  0.49351  50  0.999167799344601537  4649.8280844704  qcoGBON0T50exttypeangleextval0.49351f1s0v0.0.0.txt
BO  48  angle  0.49412  50  0.999317060143041558  5666.5003839367  qcoGBON0T50exttypeangleextval0.49412f1s0v0.0.0.txt
BO  48  angle  0.50495  50  0.999516282292005953  8001.0811826915  qcoGBON0T50exttypeangleextval0.50495f1s0v0.0.0.txt
BO  48  angle  0.50725  50  0.998963673646746542  3733.5678459826  qcoGBON0T50exttypeangleextval0.50725f1s0v0.0.0.txt
BO  48  angle  0.5082  50  0.998674089884848626  2917.7196605503  qcoGBON0T50exttypeangleextval0.5082f1s0v0.0.0.txt
BO  48  angle  0.5102  50  0.997945392750354543  1882.2199471534  qcoGBON0T50exttypeangleextval0.5102f1s0v0.0.0.txt
BO  48  angle  0.51376  50  0.996264156553187119  1034.2953216987  qcoGBON0T50exttypeangleextval0.51376f1s0v0.0.0.txt
BO  48  angle  0.52885  50  0.983619906947160616  234.3947870007  qcoGBON0T50exttypeangleextval0.52885f1s0v0.0.0.txt
BO  48  angle  0.5339  50  0.977403389817883550  169.3748026820  qcoGBON0T50exttypeangleextval0.5339f1s0v0.0.0.txt
BO  48  angle  0.54082  50  0.967294863039045771  116.4204299797  qcoGBON0T50exttypeangleextval0.54082f1s0v0.0.0.txt
BO  48  angle  0.54255  50  0.964469175054394778  107.0060396480  qcoGBON0T50exttypeangleextval0.54255f1s0v0.0.0.txt
BO  48  angle  0.54348  50  0.962917287347817674  102.4458941085  qcoGBON0T50exttypeangleextval0.54348f1s0v0.0.0.txt
BO  48  angle  0.54717  50  0.956400984276539634  86.8410375819  qcoGBON0T50exttypeangleextval0.54717f1s0v0.0.0.txt
BO  48  angle  0.55072  50  0.949639698900335727  74.9178232813  qcoGBON0T50exttypeangleextval0.55072f1s0v0.0.0.txt
BO  48  angle  0.5514  50  0.948297773496293184  72.9222126539  qcoGBON0T50exttypeangleextval0.5514f1s0v0.0.0.txt
BO  48  angle  0.55238  50  0.946327383799181354  70.1727879706  qcoGBON0T50exttypeangleextval0.55238f1s0v0.0.0.txt
BO  48  angle  0.55462  50  0.941682951814228120  64.4269947297  qcoGBON0T50exttypeangleextval0.55462f1s0v0.0.0.txt
BO  48  angle  0.55738  50  0.935716819040511738  58.2640222911  qcoGBON0T50exttypeangleextval0.55738f1s0v0.0.0.txt
BO  48  angle  0.55882  50  0.932472229404372244  55.3693870607  qcoGBON0T50exttypeangleextval0.55882f1s0v0.0.0.txt
BO  48  angle  0.56338  50  0.921748800108896260  47.5095749203  qcoGBON0T50exttypeangleextval0.56338f1s0v0.0.0.txt
BO  48  angle  0.56881  50  0.907992282510691529  40.1080095477  qcoGBON0T50exttypeangleextval0.56881f1s0v0.0.0.txt
BO  48  angle  0.56962  50  0.905840393665539478  39.1456838490  qcoGBON0T50exttypeangleextval0.56962f1s0v0.0.0.txt
BO  48  angle  0.57391  50  0.894086271147667366  34.5788029256  qcoGBON0T50exttypeangleextval0.57391f1s0v0.0.0.txt
BO  48  angle  0.57746  50  0.883869132745577879  31.3594011323  qcoGBON0T50exttypeangleextval0.57746f1s0v0.0.0.txt
BO  48  angle  0.57812  50  0.881921264348370704  30.8087871043  qcoGBON0T50exttypeangleextval0.57812f1s0v0.0.0.txt
BO  48  angle  0.58095  50  0.873408200617145414  28.6009360679  qcoGBON0T50exttypeangleextval0.58095f1s0v0.0.0.txt
