# group  group_size  exttype  extval  t  delta  Q_T  file
BI  120  angle  0.2  50  0.872677996249965893  35.1533857287  qcoGBIN0T50exttypeangleextval0.2f1s0v0.0.0.txt
BI  120  angle  0.20202  50  0.870180171687372495  34.4287650140  qcoGBIN0T50exttypeangleextval0.20202f1s0v0.0.0.txt
BI  120  angle  0.20213  50  0.870046702085043200  34.3908280536  qcoGBIN0T50exttypeangleextval0.20213f1s0v0.0.0.txt
BI  120  angle  0.20225  50  0.869898164036884136  34.3486994450  qcoGBIN0T50exttypeangleextval0.20225f1s0v0.0.0.txt
BI  120  angle  0.20238  50  0.869731853177779124  34.3016438895  qcoGBIN0T50exttypeangleextval0.20238f1s0v0.0.0.txt
BI  120  angle  0.20253  50  0.869544376847176559  34.2487434332  qcoGBIN0T50exttypeangleextval0.20253f1s0v0.0.0.txt
BI  120  angle  0.2027  50  0.869331420244625508  34.1888369981  qcoGBIN0T50exttypeangleextval0.2027f1s0v0.0.0.txt
BI  120  angle  0.2029  50  0.869087410303319041  34.1204341885  qcoGBIN0T50exttypeangleextval0.2029f1s0v0.0.0.txt
BI  120  angle  0.20312  50  0.868805020987096666  34.0415896324  qcoGBIN0T50exttypeangleextval0.20312f1s0v0.0.0.txt
BI  120  angle  0.20339  50  0.868474425287309337  33.9497150354  qcoGBIN0T50exttypeangleextval0.20339f1s0v0.0.0.txt
BI  120  angle  0.2037  50  0.868082128503361639  33.8412896885  qcoGBIN0T50exttypeangleextval0.2037f1s0v0.0.0.txt
BI  120  angle  0.20408  50  0.867609081245304337  33.7113990904  qcoGBIN0T50exttypeangleextval0.20408f1s0v0.0.0.txt
BI  120  angle  0.2043  50  0.867334062979591702  33.6363088729  qcoGBIN0T50exttypeangleextval0.2043f1s0v0.0.0.txt
BI  120  angle  0.20455  50  0.867027493949573569  33.5529695634  qcoGBIN0T50exttypeangleextval0.20455f1s0v0.0.0.txt
BI  120  angle  0.20482  50  0.866683615194223655  33.4599430513  qcoGBIN0T50exttypeangleextval0.20482f1s0v0.0.0.txt
BI  120  angle  0.20513  50  0.866295175602334599  33.3554363762  qcoGBIN0T50exttypeangleextval0.20513f1s0v0.0.0.txt
BI  120  angle  0.20548  50  0.865852915257578348  33.2371851071  qcoGBIN0T50exttypeangleextval0.20548f1s0v0.0.0.txt
BI  120  angle  0.20588  50  0.865344818186826514  33.1022875054  qcoGBIN0T50exttypeangleextval0.20588f1s0v0.0.0.txt
BI  120  angle  0.20619  50  0.864961873708478990  33.0012869940  qcoGBIN0T50exttypeangleextval0.20619f1s0v0.0.0.txt
